id,car_model,car_year,car_vin,color,price
80,Tribeca,2009,19XFB4F25FE144258,Mauv,"€22223,47"
81,Grand Marquis,1987,WAUVC58E75A057644,Maroon,"€31993,09"
82,Justy,1991,1FBNE3BL1BD232376,Violet,"€37314,38"
83,Gallardo,2006,1GD22XEG4FZ217357,Aquamarine,"€20749,59"
84,S4,2004,WAUEH94F47N369276,Goldenrod,"€24623,31"
85,Precis,1992,KNAFU5A21B5024516,Khaki,"€32385,94"
86,W201,1989,3D73Y3HL3AG259297,Red,"€28435,81"
87,LeSabre,1989,WA1VGAFP6FA261089,Khaki,"€30148,61"
88,Titan,2005,3FA6P0D98DR991264,Turquoise,"€32980,45"
89,Corolla,2002,WAUEV94F78N081035,Mauv,"€32171,72"
90,9000,1992,WVWAP7AN9EE898739,Red,"€22963,44"
91,M-Class,2001,5NPDH4AE9DH713161,Fuscia,"€20176,99"
92,Mariner,2009,1G4PR5SK8D4845639,Goldenrod,"€25599,89"
93,XR4Ti,1985,2G61W5S89E9214262,Red,"€18320,61"
94,Prelude,1984,WDDHF0EB8FB024111,Yellow,"€37870,42"
95,Eclipse,2001,2G61R5S37F9305883,Green,"€24986,01"
96,S40,2006,WBALZ3C59CC707609,Crimson,"€28445,22"
97,Tribeca,2009,WAUKGAFB9AN647078,Maroon,"€26940,94"
98,9-2X,2005,WBAKX8C53CC832765,Khaki,"€28617,41"
99,Ram Wagon B250,1992,JM1BL1K50B1247739,Indigo,"€20638,54"
100,3 Series,2001,1D7RV1GT8BS193882,Red,"€24976,33"
101,6 Series,2005,JN1BJ0HP8DM625755,Blue,"€17074,97"
102,Chariot,1988,WUAGL78E56A929458,Puce,"€28391,00"
103,Thunderbird,1980,2T2BK1BA0CC762362,Yellow,"€36264,39"
104,911,1990,19VDE1F50EE715184,Blue,"€14413,81"
105,Ridgeline,2006,1G6KE57Y35U889950,Red,"€24615,92"
106,SC,2005,2B3CK8CTXAH248704,Blue,"€21666,61"
107,1500,1992,WBSBL93436P028855,Fuscia,"€11107,20"
108,Land Cruiser,2006,1FTFW1E8XAF928360,Goldenrod,"€29902,33"
109,Eclipse,1990,WBALW7C53CD745928,Blue,"€22669,61"
110,M6,2009,5TDBY5G12BS872239,Mauv,"€32451,29"
111,Forester,2007,1GD312CG6EF161354,Blue,"€17658,27"
112,Impreza,2005,1FTNX2A56AE155256,Puce,"€22683,08"
113,Precis,1986,WBADT63462C544513,Purple,"€24688,91"
114,G,2005,5BZBF0AA6EN260430,Teal,"€20967,44"
115,Corvette,2000,1FTWX3B59AE201171,Crimson,"€16721,27"
116,Mountaineer,2004,WAUKH94F37N629444,Indigo,"€36539,36"
117,Quattroporte,2007,WDDEJ8GB1AA167171,Green,"€34100,45"
118,2500,1995,4A4AP3AU8DE777370,Khaki,"€25818,81"
119,Ram Van 1500,2003,WA1WMBFEXAD718608,Purple,"€35469,89"
120,Grand Prix,1968,JH4DC53096S783414,Goldenrod,"€21131,11"
121,A5,2008,WAUEH98EX6A052366,Orange,"€20349,66"
122,Suburban 2500,2008,WBAEV33484K170282,Green,"€10963,08"
123,Ram 1500,2000,KMHEC4A40EA286225,Blue,"€34039,21"
124,Suburban,2007,WAULD64B72N030308,Teal,"€38227,04"
125,ES,2008,WAUDL54F65N109591,Indigo,"€17063,66"
126,M3,2005,5XYZT3LB8DG279601,Teal,"€20842,70"
127,Quattroporte,1984,SCBLC31EX2C356511,Crimson,"€28957,55"
128,Tracer,1996,WAUKF78E35A119269,Pink,"€12169,37"
129,Neon,1995,JN8AF5MRXDT018877,Khaki,"€22818,24"
130,Century,1999,WAUMGBFL3DA073791,Maroon,"€11422,66"
131,S2000,2004,19UUA66224A228108,Fuscia,"€17876,59"
132,Integra,1995,JH4KB16548C974178,Goldenrod,"€26981,25"
133,riolet,1998,1N6AF0KX0EN146676,Puce,"€34519,52"
134,Boxster,2013,5YMGZ0C59CL378341,Puce,"€10894,71"
135,Viper,2008,WAUDF98E07A187519,Fuscia,"€19727,79"
136,Camry,2001,2C3CDXL95FH123970,Pink,"€32196,06"
137,G-Series G30,1992,WAUJC58E65A288923,Maroon,"€17115,19"
138,Vandura 2500,1994,YV440MBC6F1341662,Pink,"€34429,07"
139,Galant,2002,JM1NC2PF0E0533587,Aquamarine,"€37617,53"
140,G35,2004,1D4PT6GX4BW459935,Crimson,"€22414,10"
141,Aveo,2008,5UXFF0C54AL034151,Mauv,"€29406,14"
142,Azera,2011,1GD22ZCGXDZ628435,Maroon,"€32939,76"
143,Aerostar,1989,5UXWX7C57E0812746,Fuscia,"€38175,10"
144,Discovery,2012,JN1BV7APXFM904733,Indigo,"€24386,24"
145,S60,2011,SCFLDCFPXEG601309,Goldenrod,"€24292,50"
146,Ridgeline,2012,1C4RDJEG7DC526329,Maroon,"€27177,67"
147,Rally Wagon 1500,1992,JN8AZ2NC6E9297341,Fuscia,"€11364,39"
148,626,1990,3N1CN7AP3FL554036,Crimson,"€34948,37"
149,Stealth,1992,WA1MMBFE1AD790370,Purple,"€16785,12"
150,Durango,2000,5FRYD4H83FB417906,Fuscia,"€13219,02"
151,Baja,2005,1VWAP7A35EC763846,Blue,"€37221,27"
152,Outlander,2007,WAUWG94F49N925399,Puce,"€26657,06"
153,W201,1985,3C63D3HL8CG390113,Teal,"€25740,64"
154,Silverado 2500,2007,2FMDK4KC4AB196351,Goldenrod,"€22690,42"
155,QX,2012,WAUAF98EX5A727720,Maroon,"€34726,06"
156,Escalade ESV,2011,1D7RW2BK5AS965397,Orange,"€35398,60"
157,Sonata,2001,WAUDF78E17A141038,Orange,"€18134,47"
158,Montana,2003,WBSVA93558E812819,Goldenrod,"€16248,05"
159,Econoline E350,2000,1D7CE3BK6AS406424,Crimson,"€29735,68"
160,2500 Club Coupe,1993,1GD010CGXBF995985,Crimson,"€24636,32"
161,Astro,1995,1G6DN57U870070769,Mauv,"€32012,90"
162,Suburban 1500,2008,JTDZN3EU7FJ046823,Pink,"€31778,50"
163,Century,1993,WAUAF78E88A974808,Pink,"€14649,11"
164,Accent,2007,JM1GJ1T59F1290704,Khaki,"€13192,99"
165,Yukon XL 2500,2007,SCBFU7ZA2EC327821,Goldenrod,"€28289,56"
166,Horizon,1978,2C3CDXDT5CH507804,Aquamarine,"€35260,93"
167,Cabriolet,1994,5UXFB33553L165248,Teal,"€12477,90"
168,Riviera,1992,5TDBCRFH2FS342136,Violet,"€35190,61"
169,GX,2010,JN1CV6EK0EM386613,Red,"€30691,36"
170,Suburban 1500,2005,JH4CU26609C129357,Fuscia,"€34222,04"
171,Continental Super,2012,137FA84381E529438,Purple,"€34737,44"
172,Familia,1991,WBAUT9C51CA816635,Puce,"€22516,15"
173,TL,1997,SCFFDABE3CG108252,Maroon,"€12403,58"
174,ES,2011,2FMPK3K99FB219352,Yellow,"€32072,46"
175,Grand Prix,1965,WBAGG83421D071070,Crimson,"€35750,33"
176,Sonoma,1994,JN8AZ2KRXET786983,Puce,"€26808,96"
177,S80,2007,WAUUL98E18A305930,Pink,"€26797,09"
178,5 Series,2003,KL4CJCSB3DB353377,Maroon,"€34731,51"
179,Phaeton,2004,1C3BCBGG3DN780068,Orange,"€22788,49"
180,Bronco II,1989,2G4WN58C881821673,Pink,"€36688,06"
181,Yukon XL 2500,2010,WBA3G7C57EK938000,Green,"€29067,03"
182,Windstar,2001,5NPDH4AE2EH557823,Violet,"€29982,01"
183,Mustang,1965,JN1AZ4EH2AM132609,Pink,"€29577,45"
184,Rainier,2007,WDDEJ7GB8BA947180,Maroon,"€32220,45"
185,Freelander,2002,2G4GS5GX8E9660742,Blue,"€17390,94"
186,Tacoma,2010,19XFA1E37AE733817,Yellow,"€30303,82"
187,Cirrus,1999,5YMKW8C52F0390483,Khaki,"€35551,87"
188,M3,1996,JN8AE2KP1F9074046,Fuscia,"€38018,26"
189,Cougar,1999,1G6AZ5S30E0722707,Purple,"€27684,04"
190,GTO,1990,137ZA84321E888118,Yellow,"€36616,97"
191,F150,2005,1FTWW3CY2AE396638,Purple,"€37796,50"
192,FX,2008,SCBDP3ZA5BC203688,Khaki,"€24291,37"
193,Suburban 2500,1993,JM1NC2JF2F0799364,Green,"€39292,03"
194,1 Series,2009,1B3CC1FB4AN850545,Puce,"€22719,47"
195,Tribute,2011,KNAFK4A63F5721601,Violet,"€11115,84"
196,3500 Club Coupe,1992,YV1672MK7D2849169,Turquoise,"€19895,75"
197,Q5,2012,WUAAU34268N705683,Pink,"€35901,94"
198,Vandura 3500,1994,3N1CN7AP0DL862326,Red,"€39892,03"
199,Grand Caravan,1998,WBABV13404J290879,Orange,"€16592,81"
200,Tacoma,2009,1G6AU5S84F0351224,Crimson,"€18690,67"
201,RX-7,1983,WAUXU54B62N341661,Pink,"€37708,59"
202,Grand Prix,1968,JTHBP5C24B5474729,Maroon,"€11807,22"
203,Legend,1993,5J8TB3H35DL303708,Violet,"€19311,98"
204,H2,2007,WAURD68D82A716340,Blue,"€32405,16"
205,MPV,2001,1G4GA5EC3AF203759,Mauv,"€25551,10"
206,Xtra,1995,4A31K3DT4AE592198,Puce,"€15327,41"
207,Viper,2000,SALFR2BG1FH517476,Aquamarine,"€18139,50"
208,Windstar,1997,5N1AR2MM3DC263229,Fuscia,"€23517,98"
209,Neon,1998,1GD12YEGXFF856216,Goldenrod,"€15906,83"
210,XLR,2005,1GYS3HEF1DR188633,Maroon,"€29781,56"
211,300D,1993,JM3KE2BEXE0014727,Puce,"€30855,94"
212,Montero Sport,2001,SCFAD01A85G871356,Pink,"€29945,99"
213,Yukon XL 2500,2004,1D7RB1CP0AS114298,Yellow,"€15768,81"
214,RL,1996,1FTEW1C85AK166528,Purple,"€29923,83"
215,Prius,2001,1C3CDFAA0ED662970,Indigo,"€25372,34"
216,Sierra 3500,2005,3D7LP2ET7BG026588,Teal,"€38618,58"
217,tC,2011,2CTALBEW5A6949576,Yellow,"€32098,23"
218,ES,1995,5GAKVAED2BJ045922,Yellow,"€37280,75"
219,Swift,1995,KL4CJCSB5FB619792,Violet,"€29610,73"
220,V12 Vantage,2012,WAUYGAFC0CN162883,Goldenrod,"€19936,98"
221,911,1994,SCFFDCCD4CG303486,Indigo,"€25698,80"
222,Ridgeline,2010,WAUKF68E55A233493,Teal,"€15627,43"
223,Avanti,1963,1G6DH8EG0A0900318,Pink,"€36343,67"
224,SL-Class,2001,3D7TT2CT4BG331447,Yellow,"€24306,74"
225,9-5,2003,1VWAS7A3XFC823815,Mauv,"€37464,78"
226,929,1991,WP1AA2A27BL902994,Purple,"€25227,77"
227,SL-Class,1995,WVGAV7AX7BW384199,Yellow,"€22701,98"
228,Caprice,1977,WP1AA2A21EL038593,Indigo,"€11226,71"
229,S4,2000,WAU2MAFC5EN089527,Green,"€35845,18"
230,RAV4,1996,1GKS1GEJ5CR516312,Green,"€38737,84"
231,Mazda5,2008,JN1CV6FE2CM732666,Red,"€26663,77"
232,5 Series,1993,1C4RDHEG3EC766049,Blue,"€17593,03"
233,Caravan,2004,WBANN73527B767397,Crimson,"€25366,84"
234,Passat,2001,KNDPB3A24D7096769,Khaki,"€35334,59"
235,Durango,2001,1N6BF0KXXFN567830,Fuscia,"€29130,11"
236,Tredia,1986,WBAET37413N727479,Crimson,"€24416,93"
237,Diablo,1990,5UXKR6C50E0946386,Blue,"€23795,24"
238,Express 2500,1996,JHMFB4F22CS278491,Violet,"€38185,45"
239,GTO,1974,1G6KS54Y14U058815,Maroon,"€31719,04"
240,MR2,2004,1FTKR1AD8AP588502,Mauv,"€36466,58"
241,Mountaineer,1999,2C4RDGBG2DR003024,Teal,"€31616,31"
242,Suburban 1500,2007,JN8AZ2KR9BT027396,Mauv,"€30580,37"
243,Savana 1500,2004,1FMJK1J58AE810522,Maroon,"€29665,92"
244,Galant,1998,WBAYB6C57ED380149,Goldenrod,"€24653,18"
245,X3,2009,2C3CCARG5FH512212,Pink,"€33498,19"
246,CLK-Class,2004,JTHFE2C28C2691189,Green,"€26623,78"
247,911,1991,WAUHF78P58A163046,Blue,"€35210,60"
248,V8 Vantage,2010,JA4AD3A30FZ210079,Crimson,"€36397,86"
249,Aurora,1999,5N1CR2MN7EC566923,Orange,"€26609,89"
250,Stratus,1995,1D4SE6GT5BC846934,Crimson,"€34654,50"
251,Expedition,2003,5N1BA0ND6FN200695,Crimson,"€16825,10"
252,RS 6,2003,WAUKH98E68A879190,Puce,"€13366,57"
253,Yukon XL 1500,2001,1HGCR2F32DA342230,Orange,"€30384,92"
254,S10 Blazer,1994,1GKS1EEF1DR301253,Red,"€15574,81"
255,HS,2012,1GD11ZCG4BF253817,Blue,"€26574,81"
256,Sable,1992,SCBLC37FX5C944526,Turquoise,"€30236,25"
257,626,2002,JTHBL5EF4B5873569,Goldenrod,"€25834,92"
258,3500 Club Coupe,1993,SAJWA4DB7EL160149,Puce,"€15325,49"
259,Cirrus,1995,WBAFB33531L373611,Goldenrod,"€34527,44"
260,CR-X,1985,WBA3C1C5XEK533063,Aquamarine,"€14296,63"
261,Envoy XL,2002,1G6AA5RX3E0092133,Puce,"€23774,59"
262,Skylark,1985,WAUFFAFC7EN789531,Indigo,"€19013,40"
263,Bonneville,1990,1N6AD0CW8EN540745,Yellow,"€33304,91"
264,A8,1998,KMHEC4A45DA677241,Turquoise,"€20863,37"
265,900,1999,2HKRM3H53FH713371,Mauv,"€29974,34"
266,Grand Marquis,2003,WBAEB5C51AC171986,Indigo,"€26443,88"
267,M,2000,1GYUKBEF9AR903503,Green,"€31816,21"
268,RL,2004,4T1BD1FK1EU440994,Puce,"€18636,76"
269,Viper,2000,JTDBT4K36A1490308,Green,"€36027,44"
270,Regal,1985,YV4902NB6F1439281,Teal,"€10431,32"
271,Econoline E150,2001,WBABW53484P512425,Red,"€25712,40"
272,Galant,2012,WAUDGBFL6BA450921,Turquoise,"€18103,90"
273,L-Series,2004,WAUWGBFB6BN589973,Green,"€20874,03"
274,Sonata,2012,WA1WMBFEXBD583812,Orange,"€32274,15"
275,Bronco,1988,WA1WMAFE4CD548100,Purple,"€26085,83"
276,TL,2003,3FADP0L30CR374539,Violet,"€32591,92"
277,Type 2,1989,KMHHT6KD4EU601193,Fuscia,"€19055,72"
278,M,2007,1GYFC53289R022567,Purple,"€10128,83"
279,Prizm,1998,1N6BF0KM8FN767451,Teal,"€32772,04"
280,Explorer Sport Trac,2002,KL4CJASB0DB122974,Mauv,"€34285,37"
281,1500,1993,JN8AZ2NC7E9033268,Red,"€28427,90"
282,Flex,2010,SCBET9ZA3F8397312,Fuscia,"€36264,23"
283,Corolla,1994,3C4PDDDG1DT072335,Purple,"€28066,59"
284,Camaro,2012,3N1CN7AP8EK909755,Green,"€19088,82"
285,LeSabre,2000,1D4PU5GKXAW188440,Khaki,"€28364,06"
286,Liberty,2007,WBAEJ13493A838790,Aquamarine,"€18754,20"
287,Galant,1990,WVGEP9BP4FD084188,Teal,"€23081,66"
288,Liberty,2004,WAUUFAFH0BN468106,Turquoise,"€30692,46"
289,9-3,1999,3GYFNAE39CS172474,Fuscia,"€35345,42"
290,GL-Class,2011,WAUAFAFL5DA006111,Maroon,"€29057,95"
291,TSX,2011,JM3TB2BV4E0344926,Blue,"€30448,34"
292,Prizm,1995,JN8AZ2NC0D9984765,Aquamarine,"€10127,20"
293,Malibu,2003,1FTEW1C81AF391036,Aquamarine,"€17141,40"
294,7 Series,2002,WVWAB7AJ8DW254024,Indigo,"€13664,04"
295,Thunderbird,1987,1GYS3KEF9CR330402,Pink,"€39799,90"
296,Soul,2011,5GADV23W87D298039,Puce,"€16616,89"
297,F150,1995,1FTSF3B54AE587645,Indigo,"€27474,34"
298,Z8,2003,19UUA9E55DA818641,Red,"€20097,83"
299,CX-9,2009,WVGAV7AX1AW668605,Yellow,"€12436,36"
300,Vision,1993,1G6AU5S8XE0893166,Teal,"€38095,57"
301,Colt,1993,SAJWA1CB5BL862143,Fuscia,"€37336,76"
302,Talon,1994,JHMFB4F22CS998177,Yellow,"€39019,03"
303,Grand Prix,2007,SAJWA4FB8DL352966,Turquoise,"€39560,48"
304,Versa,2010,WDDHH8HB4BA726169,Mauv,"€19584,63"
305,Achieva,1994,WBA3V7C59EJ471092,Red,"€27036,40"
306,Ram 1500 Club,1997,1G6DS5EV2A0908113,Turquoise,"€17907,85"
307,Soul,2012,4T1BF3EK3BU143289,Purple,"€14139,50"
308,Forte,2011,1C6RD6JTXCS867557,Turquoise,"€38613,16"
309,Pathfinder,2002,WBABN33482P890491,Green,"€25024,04"
310,Contour,2000,1C6RD7HTXCS256004,Purple,"€35225,91"
311,Civic GX,2003,WVWAN7AN4EE532855,Aquamarine,"€38129,42"
312,Tundra,2001,1GD01ZCG8DF413244,Aquamarine,"€31000,14"
313,ES,1998,1D7CE5GK5AS502128,Turquoise,"€11773,13"
314,Grand Caravan,1992,1N6AD0CU9DN718661,Red,"€26449,31"
315,S6,2003,JA32U1FU1AU662708,Green,"€34705,26"
316,Excursion,2000,5GAKVBKD1DJ458864,Crimson,"€12143,88"
317,Truck Xtracab SR5,1989,WBAKF5C54BE852656,Fuscia,"€26810,14"
318,TSX,2006,4A4AP3AU8FE882364,Crimson,"€30761,87"
319,HED-5,2012,WAULT58E05A323304,Indigo,"€13287,23"
320,Corvette,1996,YV4952CY7E1943345,Khaki,"€21658,55"
321,Eurovan,2003,WAUEV94F97N210780,Puce,"€34377,34"
322,Challenger,2004,2FMDK3JC0AB674938,Violet,"€30485,91"
323,Veracruz,2008,2HNYD18822H224757,Green,"€34152,27"
324,968,1992,1G6DJ5EG4A0409480,Pink,"€32782,47"
325,Town & Country,2000,3VW507AT2FM053101,Indigo,"€24745,23"
326,Outback Sport,2002,1G4CW54K354453819,Violet,"€26934,02"
327,Sprinter,2009,1FTWW3A56AE831640,Green,"€11047,03"
328,Challenger,1999,WA1UFAFL6DA916862,Crimson,"€24207,22"
329,V8 Vantage S,2011,1G6AC5SX5E0146083,Maroon,"€38862,47"
330,Sonata,2009,1G4PP5SK2C4734282,Fuscia,"€23139,89"
331,Range Rover,1996,WAUAVAFA5AN198443,Goldenrod,"€37568,36"
332,Firebird,1990,3D7LP2ET8AG241363,Turquoise,"€12913,86"
333,Neon,2001,1N4AA5AP5BC726471,Puce,"€34463,96"
334,Q,2003,WBAUC9C59CV720938,Khaki,"€12440,54"
335,FF,2012,JM1GJ1T62F1259884,Yellow,"€18035,56"
336,Crown Victoria,2003,1N6AA0ED1FN864836,Yellow,"€16909,42"
337,Silverado 1500,2002,WP0AA2A95AS212912,Violet,"€15827,27"
338,G-Series G30,1992,KM8NU4CC7CU973988,Pink,"€38820,84"
339,900,1995,WBA5B1C53FG136780,Green,"€10164,37"
340,CLK-Class,2007,19XFB2F5XEE127856,Indigo,"€12844,70"
341,Sonoma Club Coupe,1997,3D7TP2CT3AG596766,Puce,"€17656,42"
342,S10,2001,5FRYD4H29GB935130,Pink,"€26978,78"
343,S2000,2000,JTDJTUD35ED664169,Turquoise,"€15319,22"
344,XL-7,2008,WAUNF98P37A617503,Indigo,"€38991,84"
345,Express 1500,2007,1GD12ZCG5CF407000,Violet,"€15507,74"
346,Miata MX-5,1995,JM3KE2BE5F0105809,Teal,"€29584,69"
347,NSX,1996,5UXWY3C57F0580494,Purple,"€26219,98"
348,E-Series,2002,5J8TB3H37EL430011,Mauv,"€34411,83"
349,Bonneville,1967,YV1672MK6A2362959,Goldenrod,"€23303,72"
350,Legacy,2004,3D73Y4HL2BG652747,Indigo,"€11718,18"
351,Eclipse,2002,WVWAN7AN9EE040600,Green,"€19538,59"
352,Titan,2012,1D7RB1CT7AS105482,Turquoise,"€11818,87"
353,626,1991,JH4KB26559C845518,Green,"€32046,95"
354,Outlook,2010,WDDEJ9EB0EA260259,Goldenrod,"€11952,00"
355,Samurai,1992,JH4DC23971S611517,Puce,"€28442,15"
356,X-Type,2006,3D73Y4HLXBG198036,Yellow,"€10493,20"
357,Carens,2009,WAUR4AFD8DN769895,Pink,"€15529,00"
358,Prizm,1996,1G4GB5GR8CF082700,Red,"€14644,61"
359,Eldorado,2001,WBAVM5C54DV689836,Turquoise,"€34209,17"
360,Acclaim,1993,5N1AZ2MG5FN228824,Crimson,"€39036,66"
361,Shadow,1993,1N6AD0CU0AC329222,Maroon,"€24200,62"
362,Colorado,2011,3GYFNAE37CS432662,Turquoise,"€34727,17"
363,300,2008,WA1DGAFE8FD174657,Pink,"€10476,91"
364,Corolla,1992,WAULC58E23A968260,Green,"€21272,34"
365,Maxima,2001,3LNHL2GC5BR745878,Crimson,"€16649,31"
366,F150,2012,WVGAV7AX2CW148481,Green,"€17779,55"
367,Century,1986,WAUVF98K19A475711,Aquamarine,"€26276,46"
368,9000,1998,2T1KE4EE0CC747341,Indigo,"€38126,19"
369,del Sol,1995,WDDUG7JB1EA665907,Khaki,"€15463,65"
370,300ZX,1996,JHMZF1D48FS662736,Green,"€36530,80"
371,Navigator,2010,3VWJP7AT6CM353990,Crimson,"€26690,75"
372,Silverado 3500,2011,1GD02ZCG9EF335720,Violet,"€28775,74"
373,Maxima,2010,1GD11ZCGXDF562744,Maroon,"€38668,18"
374,Town Car,1996,1J4RR4GG1BC464661,Crimson,"€11386,58"
375,Cherokee,1997,SCFEBBDL8EG747362,Maroon,"€26116,92"
376,Golf,2005,3N1CN7AP2EL272923,Yellow,"€26904,00"
377,88,1992,YV1940AS9D1237267,Fuscia,"€39459,05"
378,RX Hybrid,2007,1FTNF1E84AK165724,Pink,"€31323,16"
379,Elantra,2012,JN8AZ2KR2AT131954,Mauv,"€27723,53"
380,E-Class,1998,WVGAV3AX9EW141720,Turquoise,"€16806,82"
381,G-Class,2004,1G4HR57YX8U866399,Red,"€34976,53"
382,911,1999,WP0CA2A85DK266134,Red,"€34376,09"
383,3 Series,2004,2T1BURHE4EC211197,Fuscia,"€36503,90"
384,Sierra 1500,2004,WAUKF68E25A698300,Green,"€37710,78"
385,Tracer,1994,WAUDFAFL6CN517377,Teal,"€30228,33"
386,Tacoma,2010,3C6TD4CT7CG206387,Fuscia,"€24925,67"
